Role,Companies,Location,Experience,Skills
Software Developer - NLP /machine Learning/ Data Science,Cunesoft,Bengaluru,3-5 Yrs,"IT Skills
Java
Python
Cloud
Project Management
Product Management
Azure
BPO"
Data Science Intern,DataTrained,"Bengaluru, Noida",0-2 Yrs,"Computer science
SAN
French
data science
Intern
Analytical
Machine learning
Predictive modeling"
Data Science Manager,Talent  Corner HR Services Pvt Ltd,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad",5-10 Yrs,"IT Skills
Java
Python
Software Development
Big Data
.Net
Java
Storm"
Senior Trainer - Data Science/Artificial Intelligence/Machine Learning,Intelliworx Consulting         ,"Chennai, Bengaluru, Hyderabad",6-11 Yrs,"Tensorflow
Predictive Modeling
CNN
python
Tensor
SAS
scikit-learn
Artificial Intelligence"
Head - Data Science,Beiing.in,"Banaglore,  Abudhabi",10-15 Yrs,"data scientist
R
decision tree
data mining
k means
Python
Machine learning
regression"
Manager - Data Science - BFSI,NovoTree Minds Consulting Pvt. Ltd.,"Mumbai, Any Location",6-10 Yrs,"Data Science
Consulting - BFSI
NLP
Big Data
Statistical Modeling
Machine Learning
SQL
Python"
Marketing Data Science Professional - SAS - Consulting Firm,Huquo Consulting Pvt. Ltd,Gurgaon Gurugram,2-5 Yrs,"Data Science
SAS
Data Management
Big Data
Data Mining
Data Visualization
statistical modeling
Marketing Analytics"
Global Head - Advanced Analytics/ Data Science/ Data Engineering,Rinalytics Advisors,Mumbai,15-20 Yrs,"Data Science
Artificial Intelligence
Data Architect
Data Management
Big Data
Data Visualization
Data Analytics
Analytics"
Senior Manager/manager- Data Science- Pricing Analytics& SCM Analytics,Talpro,"Delhi NCR, Gurgaon",5-8 Yrs,"IT Skills
Data Science
Data Science
Supply Chain Analytics
Data Management
Pricing models
Analytics
Business Analysis"
Data Science Developer - Analytics/ Alteryx,The Hiring Story,Mumbai,3-7 Yrs,"IT Skills
Data Science
Data Science
R
SQL database
Workflows
Macro
Data Management"
Senior Manager/manager - Data Science,Talpro,Gurgaon,6-8 Yrs,"Data Science
Pricing Analysis
Supply Chain Analytics
Data Analytics
Statistics
Analytics
Consulting - Retail
Business Analysis"
Senior Manager/ Manager - Data Science - Pricing Analytics,Talpro,"Delhi NCR, Gurgaon",5-8 Yrs,"Data Science
Supply Chain Analytics
Data Management
Analytics
Business Analysis
Predictive Analytics"
Senior Manager/manager - Data Science - Pricing Analytics,Talpro,Gurgaon,6-8 Yrs,"Data Science
Pricing Analysis
Supply Chain Analytics
Data Analytics
Statistics
Analytics
Consulting - Retail
Business Analysis"
Senior Manager/manager- Data Science - Pricing Analytics & SCM,Talpro,"Delhi NCR, Gurgaon",5-8 Yrs,"Data Science
Supply Chain Analytics
Data Management
Analytics
Business Analysis
Predictive Analytics"
"Trainee - Data Science, Artificial Intelligence & Data Analytics",MagicBase Royal BD Pvt Ltd,Bengaluru(Whitefield),0-2 Yrs,"IT Skills
Python
Data Science
Machine Learning
Data Science
Artificial Intelligence
Data Analytics"
"Senior Analyst, Data Science",Varite,Bengaluru,3-6 Yrs,"IT Skills
Power BI
Azure
Analyst
Excel
data science
Agile
power bi"
Data Science Internship - Immediate Joining,NeenOpal Intelligent Solutions Pvt. Ltd.,Bengaluru,0-1 Yrs,"data science
Intern
Coding
Machine learning
Data analytics
Internship
Python"
Analyst - Data Science,Nuware  Systems Pvt Ltd,Bengaluru,3-6 Yrs,"Data analysis
RDBMS
Bfsi
Application programming
Machine learning
Investment banking
Data mining
Macros"
Delivery Manager Data Science Operations,Acuity Knowledge Services (India) Private Limited,Bengaluru,8-13 Yrs,"Computer science
Process automation
Data analysis
PDF
SAS
GCP
Analytical
Business intelligence"
Data Science Operations,Acuity Knowledge Services (India) Private Limited,Bengaluru,6-11 Yrs,"Computer science
Front office
Data analysis
data science
Financial analysis
Investment research
HR
Financial services"
Data Analyst / Data Science Intern,Futurewagon Private Limited,Bengaluru,1-3 Yrs,"Operations management
Excel
data science
Intern
Analytical
Data Analyst
Management
Internship"
Senior Analyst- Data Science,Accenture Solutions Pvt Ltd,Bengaluru,5-8 Yrs,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Project Management
BPO
project management
Analyst- Data Science"
Analyst (Data Science),Bloom Consulting Services,Bengaluru,3-8 Yrs,"github
Version control
data science
SQL database
Agile development
control testing
Consulting
Machine learning"
Sr Analyst Data Science Analytics,Empower Retirement,Bengaluru,2-6 Yrs,"Analyst
Google Analytics
SAS
data science
Coding
Data modeling
Operations
Financial services"
Data Science and Artificial Intelligence unpaid Internship,Aerofolic Business Solution ,Bengaluru,0-1 Yrs,"NLP
Natural Language Processing
Text Mining
Machine Learning
Python"
Senior Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft,Bengaluru,5-8 Yrs,"IT Skills
Java
Python
Cloud
Project Management
Product Management
Azure
BPO"
"TTEC  -  Senior Analyst ,  Data Science",TTEC,Hyderabad,1-3 Yrs,"Data analysis
Coding
Consulting
Business intelligence
Open source
Data mining
Information technology
Macros"
"Data Science Analyst - R, Python",Larsen & Toubro Infotech Limited,india,2-7 Yrs,"IT Skills
Python
Data Science
Azure
Logistic regression
Neural networks
Analytical
Data structures"
Business Analyst – Data Science,Sitel India Pvt Ltd,Chennai,4-9 Yrs,"BPO
voice
PyAutoGUI
NLTK
Textblob
PYautomate
UI Path
Python"
Data Science Lead - IT,hCapital Executive Search,Bengaluru,12-18 Yrs,"IT Skills
Python
Data Science
Machine Learning
Cloud
Big Data
AWS
Azure"
Global Head - Advanced Analytics/Data Science/Data Engineering - FMCG,Rinalytics Advisors,"Mumbai, Bengaluru",15-20 Yrs,"Data Science
Artificial Intelligence
Data Architect
Data Management
Big Data
Data Visualization
Data Analytics
Analytics"
Data Science Specialist,GreatLearning,"Bengaluru, Gurgaon",2-5 Yrs,"Data analysis
LMS
data science
Project management
Business analytics
Hypothesis Testing
Business intelligence
Analytics"
Technical Data Analyst – Data Science and Analytics,vConstruct Private Limited,Pune,3-6 Yrs,"BI Tools
Power Bi
SSRS
SQL Server
Machine Learning
SQL
Data Science
R"
Data Science Manager / Project Manager,QubeRoot Analytics,Bengaluru,8-13 Yrs,"Computer science
Data analysis
Business objects
Process optimization
Bfsi
MySQL
Healthcare
Data mining"
Data Science – Python developer,Ethiraj Associates Private Limited,Bengaluru,7-10 Yrs,"IT Skills
Python
Data Science
Machine Learning
Oracle
Big Data
Data Science
Scipy"
Artificial Intelligence/Machine learning/Data Science,Spectrum Consultants India Pvt Ltd.,Bengaluru,8-13 Yrs,"Computer science
Electrical engineering
deep learning
Literature
data science
Artificial Intelligence
Machine learning
Silicon"
DATA SCIENCE Analyst,Vchip-edu,Pune,5-10 Yrs,"IT Skills
Python
Tutor
Data analysis
data science
Manager Technology
Entrepreneur
SQL"
Sr. Analyst- Data Science,Merkle Inc.,Pune,3-6 Yrs,"Data validation
advertising agency
SAS
EMEA
Troubleshooting
Adobe
Digital marketing
Comparative analysis"
Data Science - Intern,Merkle Inc.,Pune,0-1 Yrs,"IT Skills
Python
Data Science
Tableau
Power BI
Data validation
advertising agency
SAS"
Software Developer - NLP/ Data Science/ Machine Learning,Cunesoft,Bengaluru,3-8 Yrs,"IT Skills
Java
Python
Cloud
Project Management
Product Management
Azure
BPO"
"Internship in Data Science, AI and  Machine Learning -  Online",www.iibmindia.in,"Mumbai, Bengaluru, Hyderabad",0-5 Yrs,"IT Skills
Data Science
Data Science
fresher
any graduate
Online
Internship
work from home"
Data Science,Capgemini,Bengaluru,4-6 Yrs,"IT Skills
Python
Data Science
Cloud
AWS
Azure
Computer science
deep learning"
Senior Analyst / Assistant Manager Data Science,Latent view,Chennai,3-8 Yrs,"Text mining
Analyst
data science
Business analysis
Machine learning
QlikView
Data mining
Analytics"
"Computer Science Faculty For B.Tech (AI, ML, IoT, Data Science)",Vision Group of Institutions,"Aligarh, Kanpur",0-5 Yrs,"Java
software
Artificial Intelligence
Programming
topper
Machine Learning
computer sciene & engineering
IOT"
Data Science Manager (Staff Data Scientist I/Staff Data Scientist II),Visible Alpha Solutions India Pvt. Ltd.,Mumbai,10-15 Yrs,"IT Skills
Python
Machine Learning
Big Data
data analytics
Sql
Machine Learning
algorithms"
Data Analyst / Sr. Data Analyst – Data Science,Reserve Bank Information Technology Pvt. Ltd.,Mumbai,3-8 Yrs,"LingPipe
Sentiment Analysis
Machine Learning
Scikit-Learn
Numpy
SQL
Nltk
Data Science"
Senior Analyst - Data Science - IIT/ NIT/ IIM/ Xlri/ FMS,Huquo Consulting Pvt. Ltd,Gurgaon,2-5 Yrs,"IT Skills
Python
Machine Learning
Tableau
Data Science
SAS
Tableau
Machine Learning"
Data Science Intern,newAmps Consulting Pvt. Ltd.,Kolkata,0-3 Yrs,"data science
Intern
Artificial Intelligence
Machine learning
Javascript
Natural language processing
Internship
Python"
Data Science,XenonStack Private Ltd,Mohali,0-2 Yrs,"Business improvement
C++
data science
cassandra
Analytical
Artificial Intelligence
Machine learning
Predictive modeling"
Data Science Associate,WRS Info India Pvt. Ltd.,"Lucknow, Noida",0-9 Yrs,"Campus
Loans
Email
data science
Consumer finance
Doc
Silicon
Associate"
Data Science Analyst,Devoted Health,Remote,3-8 Yrs,"remote
Health insurance
Operations research
data science
Analytical
Machine learning
Healthcare
Business intelligence"
Data Science Intern,Sankhkyiki Robotics,Mumbai,0-1 Yrs,"Computer vision
data science
Intern
big data analytics
Artificial Intelligence
Machine learning
Natural language processing
Statistics"
Data Science,XenonStack Private Ltd,Mohali,0-2 Yrs,"Unix
Performance tuning
Linux
Analytical
Artificial Intelligence
Shell scripting
Machine learning
Predictive modeling"
Data Science Trainee,Anantara Solutions Private Limited,Chennai,0-1 Yrs,"SAN
French
data science
Data modeling
Analytical
Cook
Manager Technology
SQL"
Data Science Interns,Aivamastu,Visakhapatnam,0-1 Yrs,"data science
Intern
Consulting
Internship
digital transformation
Software solutions"
Data Analyst - Data Science,DataToBiz,Chandigarh,3-7 Yrs,"IT Skills
Python
Cloud
Oracle
AWS
Tableau
Power BI
DataLake"
Data Analyst - Data Science,DataToBiz,Chandigarh,3-7 Yrs,"IT Skills
Python
Cloud
Oracle
AWS
Tableau
Power BI
DataLake"
Senior Software Engineer ( data sciences ),Myntra,Bengaluru,2-7 Yrs,"Data Science
Aerospike
Design Patterns
Cassandra
Big Data
Redis
MongoDB
Spark"
Product Manager(Data Science + Artificial Intelligence),Oracle,Hyderabad,5-10 Yrs,"Product Strategy
Data Science
Solution Marketing
IT Skills
Cloud
Project Management
Product Management
BPO"
Urgently Looking For Full - Data Science Trainer | Noida,Careerera,Noida(Sector-59 Noida),4-9 Yrs,"Full Stack Trainer
CSS
Corporate Trainer
Javascript
HTML"
Education Sales. | Data Science Sales | Noida | Careerera,SNVA Ventures Pvt Ltd,Noida(Sector-59 Noida),2-7 Yrs,"Data Science
inside sales
education sales
Sales
data science sales
skill based program
training
Business Development"
Business Development Ex. | Data Science Sales | Noida | Careerera,SNVA Ventures Pvt Ltd,Noida(Sector-59 Noida),2-7 Yrs,"Data Science
inside sales
education sales
Sales
data science sales
skill based program
training
Business Development"
Business Development Ex. | Data Science Sales | Noida | Careerera,SNVA Ventures Pvt Ltd,Noida(Sector-59 Noida),2-7 Yrs,"Data Science
inside sales
education sales
Sales
data science sales
skill based program
training
Business Development"
Inside Sales | Data Science Sales | Noida | Careerera,SNVA Ventures Pvt Ltd,Noida(Sector-59 Noida),2-7 Yrs,"Data Science
inside sales
education sales
Sales
data science sales
skill based program
training
Business Development"
Senior Software Engineer  -  Data Science and Machine Learning,VSH SOLUTIONS PRIVATE LIMITED,Pune,2-5 Yrs,"Computer science
GIT
NoSQL
cassandra
Analytical
Machine learning
MongoDB
MATLAB"
"Analyst Data Science (Risk/Fraud) AI ML based startup Magarpatta Pune
",Seventh Contact Hiring Solutions    ,"Pune, Bengaluru",3-6 Yrs,"Pune
IT Skills
Machine Learning
Data Science
Predictive Modeling
Banglore
Data Scientist
Magarpatta"
Senior Manager/manager- Data Science - Pricing Analytics & SCM,Talpro,"Delhi NCR, Gurgaon",5-8 Yrs,"Data Science
Supply Chain Analytics
Data Management
Analytics
Business Analysis
Predictive Analytics"
"Analyst Data Science (Risk/Fraud) AI ML based startup Magarpatta Pune
",Seventh Contact Hiring Solutions    ,"Pune, Bengaluru",3-6 Yrs,"Pune
IT Skills
Machine Learning
Data Science
Predictive Modeling
Banglore
Data Scientist
Magarpatta"
Data Science ( Python & Statistical Modelling ),JoulestoWatts Business Solutions Pvt Ltd,"Chennai, Pune, Bengaluru, Hyderabad, Gurgaon",5-10 Yrs,"Data Science
Predictive Modeling
ANCOVA
ANOVA
Natural Language Processing
Statistical Modeling
machine learning
SQL"
Job Opening For Data Science Module Lead position @ GlobalData(Hyd),GlobalData,Hyderabad(Kondapur),4-8 Yrs,"IT Skills
Python
Software Development
Data Science
Machine Learning
MS SQL
Data Science
MongoDB"
Infosys - Data Science Opening  - 3 yrs To 7 yrs,Infosys,"Chennai, Bhubaneshwar, Pune, Trivandrum, Mysore, Bengaluru, Chandigarh, Hyderabad",3-7 Yrs,"IT Skills
Data Science
Data Science
DataScience"
